,,,,,,,,,,,,,,"Notice: Height of safety catch is cage height until 84"", then its 84"".","Notice: Height of safety catch is cage height until 84"", then its 84"".",,,,,,
,,,,1/30/2019,1/30/2019,1/30/2019,1/30/2019,,,$774 ,$90 ,"$12,960 ","Notice: Height of safety catch is cage height until 84"", then its 84"".",1/30/2019,1/30/2019,1/30/2019,1/30/2019,,,,
DxH,Diameter,Height,# panels,"Bird Regular (.120 1"" x 1"" Black Powder Coated Wire)","Bird Special (.120 1"" x 1"" Black Powder Coated Wire)","Cat Regular (.090 x 1-1/2"" x 1-1/2"" Black Powder Coated Wire)","Cat Special (.090 x 1-1/2"" x 1-1/2"" Black Powder Coated Wire)",61,"1,323",Printed Background on Black Granite Laminate (per panel) Bird,Printed Background on Aluminum Laminate (per panel) Bird,Printed Background on Black Granite Laminate (per panel) cat,Printed Background on Aluminum Laminate (per panel) cat,"1"" x 1"" black pc wire bird BIRD SAFETY CATCH PRICE","1"" x 1"" black pc wire bird DOUBLE BIRD SAFETY CATCH PRICE","1-1/2"" x 1-1/2"" black pc wire CAT SAFETY CATCH PRICE","1-1/2"" x 1-1/2"" black pc wire DOUBLE CAT SAFETY CATCH PRICE","Pull Out Floor 1"" x 1"" PC black wire .120 (bird only)",Pull Out Tray Black PC Steel,PC Aluminum Pull out Tray (entire price),cut to size washable lenolium - fits in tray or sit on floor
4-24,4,24,5,1322.84,0,1285.96,0,100,120,49,13,56,70,646,517,617,494,270,240,312,86.4
4-30,4,30,5,1406.95,0,1360.85,0,100,120,61,13,70,87,687,549,653,522,270,240,312,86.4
4-36,4,36,5,1491.06,0,1435.75,0,105,120,73,13,84,104,727,582,689,551,270,240,312,86.4
4-42,4,42,5,1575.17,0,1510.64,0,114,120,85,13,98,122,768,614,725,580,270,240,312,86.4
4-48,4,48,5,1659.28,1495,1585.53,1450,124,120,98,13,113,139,808,647,761,609,270,240,312,86.4
4-60,4,60,5,1910.22,0,1818.03,0,143,120,122,13,141,174,898,719,842,674,270,240,312,86.4
4-72,4,72,5,2102.84,1895,1992.21,1795,166,120,146,13,169,209,980,784,914,731,270,240,312,86.4
4-84,4,84,5,2441.92,0,2312.86,0,182,120,171,13,197,243,1061,849,986,789,270,240,312,86.4
4-96,4,96,5,3035.19,0,2887.69,0,238,120,195,13,225,278,1397,1118,1322,"1,058",270,240,312,86.4
5-24,5,24,6,1665.89,0,1621.64,0,100,202,49,16,56,70,646,517,617,494,335,375,487.5,135
5-30,5,30,6,1764.84,0,1709.53,0,111,202,61,16,70,87,687,549,653,522,335,375,487.5,135
5-36,5,36,6,1863.79,0,1797.42,0,122,202,73,16,84,104,727,582,689,551,335,375,487.5,135
5-42,5,42,6,1962.74,0,1885.31,0,133,202,85,16,98,122,768,614,725,580,335,375,487.5,135
5-48,5,48,6,2061.69,1850,1973.19,1795,145,202,98,16,113,139,808,647,761,609,335,375,487.5,135
5-60,5,60,6,2356.1,0,2245.47,0,167,202,122,16,141,174,898,719,842,674,335,375,487.5,135
5-72,5,72,6,2578.39,2350,2445.64,2195,193,202,146,16,169,209,980,784,914,731,335,375,487.5,135
5-84,5,84,6,2990.79,0,2835.91,0,213,202,171,16,197,243,1061,849,986,789,335,375,487.5,135
