Cage Size,H3 Bird New Reg Price - changed 1-31-2019,H3 Bird New Sale Price - changed 1-31-2019,H3 reptile New Reg Price - changed 1-31-2019,H3 reptile New Sale Price - changed 1-31-2019,H3 Hood/Stand w cage price - changed 1-31-2019,H3 sys A POF/POT Price - changed 8/2011,H3 sys B POF/POT Price - changed 8/2015,H3 Rem Div Price  - changed 8/2015,H3 Cover Price - changed 10/2017 ,,H2 Bird New Reg Price - changed 1-31-2019,H2 Bird New Sale Price - changed1-31-2019,H2 reptile New Reg Price - changed 1-31-2019,H2 reptile New Sale Price - changed 1-31-2019,H2 Hood/Stand w cage price - changed 1-31-2019,H2 sys A POF/POT Price - changed 8/2011,H2 sys B POF/POT Price - changed 8/2015,H2 Rem Div Price  - changed 8/2015,H2 Cover Price - changed 10/2017,,Majestic New Bird Regular Price - changed 8/2011,Majestic New Bird Regular Price - changed 2016,Majestic New Bird Sale Price - changed 8/2011,Majestic New Bird Sale Price - changed 2016,Majestic New Reptile Regular Price - changed 8/2011,Majestic New Reptile Regular Price - changed 2016,Majestic New Reptile Sale Price - changed 8/2011,Majestic New Reptile Sale Price - changed 2016,Majestic Hood/Stands No Door - changed 8/2011,Majestic Hood/Stands No Door - changed 2015,Majestic Hood/Stands with Door - changed 8/2011,Majestic Hood/Stands No Door - changed 2019,Majestic Hood/Stands with Door - changed 2015,POT B Price - changed 8/2011,Majestic Hood/Stands with Door - changed 2019,POT B Price - changed 2015,Majestic Rem. Div. Price - changed 8/2011,Majestic Rem. Div. Price - changed 2015,Majestic Cover Price - changed 8/2011,Majestic Cover Price - changed 2015
12-12-12,362.32, ,335.94, ,275.05,N/A**,99.95,84.95,130.38,,269.36, ,242.98, ,206.02,N/A**,99.95,95.95,130.38,,921.95,"1,359.65","1,097.21", ,916.95,"1,336.10", , ,262.95,294.95,375.95,330.344,432.95,132.95,484.904,148.95,116.95,130.95,84.95,130.38
12-12-18,423.67, ,384.1, ,311.24,N/A**,123.95,107.95,144.36,,316.15, ,276.58, ,225.06,N/A**,123.95,120.95,144.36,,"1,028.95","1,513.67", , ,"1,014.95","1,478.34", , ,290.95,325.95,404.95,365.064,465.95,148.95,521.864,166.95,142.95,160.95,93.95,144.36
12-12-24,483.9, ,431.14, ,346.47,N/A**,146.95,129.95,158.34,,360.7, ,307.94, ,245.22,N/A**,146.95,145.95,158.34,,"1,137.95","1,669.92", , ,"1,113.95","1,622.82", , ,319.95,358.95,434.95,402.024,500.95,166.95,561.064,186.95,166.95,186.95,102.95,158.34
12-12-30,545.24, ,479.3, ,382.66,N/A**,169.95,152.95,172.32,,406.36, ,340.42, ,265.38,N/A**,169.95,171.95,172.32,,"1,243.95","1,825.06", , ,"1,212.95","1,766.18", , ,349.95,391.95,463.95,438.984,533.95,182.95,598.024,204.95,191.95,214.95,111.95,172.32
12-12-36,605.47, ,526.34, ,417.89,N/A**,192.95,173.95,186.27,,452.03, ,372.9, ,284.42,N/A**,192.95,194.95,186.27,,"1,351.95","1,981.31", , ,"1,311.95","1,910.66", , ,377.95,423.95,491.95,474.824,565.95,200.95,633.864,225.95,214.95,240.95,119.95,186.27
12-12-42,666.82, ,574.5, ,454.08,N/A**,216.95,195.95,200.25,,497.7, ,405.38, ,304.58,N/A**,216.95,219.95,200.25,,"1,457.95","2,137.57", , ,"1,410.95","2,055.14", , ,407.95,456.95,520.95,511.784,599.95,216.95,671.944,242.95,238.95,267.95,129.95,200.25
12-12-48,727.05, ,621.54, ,489.31,N/A**,238.95,217.95,214.23,,541.13, ,435.62, ,324.74,N/A**,238.95,244.95,214.23,,"1,566.95","2,294.94", , ,"1,510.95","2,200.74", , ,437.95,490.95,551.95,549.864,634.95,232.95,711.144,260.95,263.95,295.95,138.95,214.23
12-12-60,847.5, ,715.62, ,559.78,N/A**,285.95,262.95,242.16,,634.7, ,502.82, ,365.06,N/A**,285.95,294.95,242.16,,"1,781.95","2,607.45", , ,"1,709.95","2,489.70", , ,494.95,554.95,608.95,621.544,700.95,267.95,785.064,300.95,311.95,349.95,156.95,242.16
12-18-12,416, ,385.22, ,312.69,N/A**,122.95,84.95,144.36,,310.72, ,279.94, ,235.14,99.33,122.95,95.95,144.36,,"1,008.95","1,485.66", , ,"1,000.95","1,458.18", , ,279.95,313.95,416.95,351.624,479.95,167.95,537.544,188.95,116.95,130.95,93.95,144.36
12-18-18,485.14, ,438.98, ,351.76,N/A**,153.95,107.95,158.34,,363.06, ,316.9, ,257.54,125.07,153.95,120.95,158.34,,"1,118.95","1,642.76", , ,"1,099.95","1,601.54", , ,311.95,349.95,448.95,391.944,516.95,190.95,578.984,213.95,142.95,160.95,102.95,158.34
