HxLxD,Height,Length,Depth,"""C"" for custom ""S"" for special",Panels Long,Panels Deep,"Price with 1"" wire and PC Steel Pitched Roof","Discount for 1"" wire roof instead of pitched roof","Addl. 1"" wire floor option (bolted in on larger cages - removable on smaller cages - or wire roof add on (in addition to steel roof)","Bolted on bottom only ""B"" or removable option ""R""  (bolt on wire floor keeps varmets out, can also sub for other diamenters or solid materials)",Price Per Divider to split the Length (goes front to back in the cage),Price Per Divider to split the depth (goes left to right in cage),Silver Alum Frame Upgrade,Alum/Silver Roof Upgrade,Printed Background on Black Granite Laminate (per panel) Bird,Printed Background on Black Granite Laminate (per panel) Bird,Printed Background on Aluminum Laminate (per panel) Bird,Printed Background on Aluminum Laminate (per panel) Bird,"Safety Catch 1"" pc wire","DOUBLE Safety Catch 1"" pc wire","Extra Door (in place of a panel - 1"" pc wire)",Pull Out Tray Price,Powder coated aluminum upgrade pull out tray,cut to size washable lenolium - fits in tray or sit on floor,bird special price,cat regular price,cat special price
12-12-12,12,12,12,c,1,1,893,55,125,R,104,104,100,22,10,10,12,12,506,405,96,15.00,19.50,5.40,0,878.00,0
12-18-12,12,18,12,c,1,1,937,84,136,R,104,110,100,27,15,10,19,12,506,405,96,22.50,29.25,8.10,0,922.00,0
12-18-18,12,18,18,c,1,1,1028,147,148,R,111,111,100,38,15,15,19,19,506,405,98,33.75,43.88,12.15,0,1013.00,0
12-24-12,12,24,12,c,1,1,980,113,147,R,104,117,100,32,20,10,25,12,506,405,96,30.00,39.00,10.80,0,966.00,0
12-24-18,12,24,18,c,1,1,1081,191,159,R,111,118,100,44,20,15,25,19,506,405,98,45.00,58.50,16.20,0,1067.00,0
12-24-24,12,24,24,c,1,1,1182,268,172,R,118,118,100,56,20,20,25,25,506,405,100,60.00,78.00,21.60,0,1168.00,0
12-30-12,12,30,12,c,1,1,949,143,157,R,105,116,100,37,24,10,31,12,506,405,96,37.50,48.75,13.50,0,934.00,0
12-30-18,12,30,18,c,1,1,1051,234,171,R,112,116,100,51,24,15,31,19,506,405,98,56.25,73.13,20.25,0,1036.00,0
12-30-24,12,30,24,c,1,1,1153,325,185,R,119,116,100,64,24,20,31,25,506,405,100,75.00,97.50,27.00,0,1138.00,0
12-30-30,12,30,30,c,1,1,1154,416,199,R,116,116,100,78,24,24,31,31,506,405,103,93.75,121.88,33.75,0,1139.00,0
12-36-12,12,36,12,c,1,1,1068,172,168,R,105,131,100,42,29,10,37,12,506,405,96,45.00,58.50,16.20,0,1054.00,0
12-36-18,12,36,18,c,1,1,1189,277,183,R,112,131,100,57,29,15,37,19,506,405,98,67.50,87.75,24.30,0,1174.00,0
12-36-24,12,36,24,c,1,1,1309,382,198,R,119,132,100,72,29,20,37,25,506,405,100,90.00,117.00,32.40,0,1295.00,0
12-36-30,12,36,30,c,1,1,1322,487,213,R,116,132,100,87,29,24,37,31,506,405,103,112.50,146.25,40.50,0,1308.00,0
12-36-36,12,36,36,c,1,1,1550,593,227,R,133,133,100,102,29,29,37,37,506,405,105,135.00,175.50,48.60,0,1535.00,0
12-42-12,12,42,12,c,1,1,1112,201,179,R,106,138,100,47,34,10,43,12,506,405,96,52.50,68.25,18.90,0,1098.00,0
12-42-18,12,42,18,c,1,1,1242,320,195,R,113,138,100,64,34,15,43,19,506,405,98,78.75,102.38,28.35,0,1228.00,0
12-42-24,12,42,24,c,1,1,1372,439,211,R,119,139,100,80,34,20,43,25,506,405,100,105.00,136.50,37.80,0,1358.00,0
12-42-30,12,42,30,c,1,1,1390,559,226,R,117,139,100,97,34,24,43,31,506,405,103,131.25,170.63,47.25,0,1376.00,0
12-42-36,12,42,36,c,1,1,1632,678,242,R,133,139,100,113,34,29,43,37,506,405,105,157.50,204.75,56.70,0,1618.00,0
12-42-42,12,42,42,c,1,1,1763,797,258,R,140,140,100,130,34,34,43,43,506,405,108,183.75,238.88,66.15,0,1748.00,0
12-48-12,12,48,12,c,1,1,1156,230,190,R,106,145,100,52,39,10,50,12,506,405,96,60.00,78.00,21.60,0,1142.00,0
12-48-18,12,48,18,c,1,1,1296,363,207,R,113,145,100,70,39,15,50,19,506,405,98,90.00,117.00,32.40,0,1282.00,0
12-48-24,12,48,24,c,1,1,1436,497,223,R,120,146,100,88,39,20,50,25,506,405,100,120.00,156.00,43.20,0,1421.00,0
12-48-30,12,48,30,c,1,1,1457,630,240,R,117,146,100,106,39,24,50,31,506,405,103,150.00,195.00,54.00,0,1443.00,0
12-48-36,12,48,36,c,1,1,1715,763,257,R,134,146,100,124,39,29,50,37,506,405,105,180.00,234.00,64.80,0,1701.00,0
12-48-42,12,48,42,c,1,1,1855,896,274,R,140,147,100,142,39,34,50,43,506,405,108,210.00,273.00,75.60,0,1841.00,0
12-48-48,12,48,48,c,1,1,1995,1030,290,R,147,147,100,160,39,39,50,50,506,405,110,240.00,312.00,86.40,0,1981.00,0
12-60-12,12,60,12,c,1,1,1151,289,211,R,107,150,100,62,49,10,62,12,506,405,96,75.00,97.50,27.00,0,1137.00,0
12-60-18,12,60,18,c,1,1,1298,450,230,R,114,150,100,83,49,15,62,19,506,405,98,112.50,146.25,40.50,0,1284.00,0
12-60-24,12,60,24,c,1,1,1445,611,249,R,121,150,100,104,49,20,62,25,506,405,100,150.00,195.00,54.00,0,1431.00,0
